sku,product_name,category,manufacturer,base_price,mrp,batch_number,manufacturing_date,expiry_date,stock_quantity,daily_demand,status
DAIRY-CHEESE-005,Britannia Processed Cheese Slices 200g,Dairy,Amul India,140.0,145.0,BCHE-1374,2026-04-24,2026-10-23,343,25,SAFE
BAKERY-BUN-003,English Oven Burger Buns 4pcs,Bakery,Britannia Industries,35.0,38.0,BBUN-1100,2026-09-28,2027-01-16,141,8,SAFE
RTE-PANEER-001,MTR Ready to Eat Paneer Butter Masala 300g,Ready-to-eat foods,MTR Foods,140.0,150.0,BPAN-1075,2026-07-27,2026-10-25,122,15,SAFE
PKG-RICE-002,Fortune Biryani Special Basmati Rice 1kg,Packaged Foods,Tata Consumer Products,195.0,210.0,BRIC-1212,2026-05-05,2026-09-15 07:43:07,64,25,SAFE
CER-MUESLI-003,Baggry's Crunchy Muesli Fruit & Nut 400g,Cereals,Kellogg India,270.0,290.0,BMUE-1472,2025-11-28,2026-08-28 21:39:11,19,17,CRITICAL
CER-OATS-002,Quaker Rolled Oats 1kg,Cereals,Kellogg India,180.0,195.0,BOAT-1193,2026-04-23,2026-11-19,65,23,SAFE
SAUCE-SCHZ-002,Ching's Secret Schezwan Chutney 250g,Sauces,Hindustan Unilever,80.0,85.0,BSCH-1404,2026-10-12,2027-02-09,53,28,SAFE
DISC-UNIBIC-005,Unibic Chocolate Chip Cookies 150g,Biscuits,Parle Products,65.0,75.0,BUNI-1477,2025-10-08,2026-08-28 04:30:27,304,25,CRITICAL
CER-OATS-002,Quaker Rolled Oats 1kg,Cereals,Kellogg India,180.0,195.0,BOAT-1284,2026-04-24,2027-02-05,110,17,SAFE
COND-MUSTARD-002,French's Classic Yellow Mustard 226g,Condiments,Wingreens Farms,210.0,230.0,BMUS-1004,2025-12-31,2026-11-15,18,26,SAFE
DISC-UNIBIC-005,Unibic Chocolate Chip Cookies 150g,Biscuits,Parle Products,65.0,75.0,BUNI-1496,2026-03-24,2026-08-27 17:18:15,304,17,DONATION
SPICE-GARAM-001,Everest Royal Garam Masala 100g,Spices,MDH Spices,85.0,90.0,BGAR-1251,2026-05-16,2026-09-26,207,22,SAFE
COND-DIP-003,Wingreens Farms Chipotle Dip 180g,Condiments,Wingreens Farms,175.0,190.0,BDIP-1059,2026-04-27,2026-09-29 07:42:17,201,27,SAFE
CER-CHOCOS-004,Kellogg's Chocos Crunchy Bites 375g,Cereals,Kellogg India,195.0,210.0,BCHO-1204,2026-09-09,2026-12-23 22:58:45,260,14,SAFE
CANNED-BEANS-003,Heinz Baked Beans in Tomato Sauce 415g,Canned Foods,Del Monte India,140.0,150.0,BBEA-1119,2026-05-19,2026-10-17,176,5,SAFE
DISC-PARLEG-001,Parle-G Gold Biscuits 1kg,Biscuits,Parle Products,120.0,130.0,BPAR-1356,2026-09-30,2027-01-05,166,20,SAFE
DISC-OREO-004,Oreo Chocolate Cream Biscuits 120g,Biscuits,Parle Products,35.0,40.0,BORE-1241,2026-03-19,2026-12-14,173,16,SAFE
CER-CORN-001,Kellogg's Corn Flakes Original 875g,Cereals,Kellogg India,310.0,330.0,BCOR-1264,2026-02-28,2026-09-19,193,2,SAFE
SNACK-NACHOS-004,Doritos Cheese Nachos 60g,Snacks,PepsiCo India,30.0,30.0,BNAC-1271,2025-12-26,2026-11-15 07:23:29,270,21,SAFE
PKG-RICE-002,Fortune Biryani Special Basmati Rice 1kg,Packaged Foods,Tata Consumer Products,195.0,210.0,BRIC-1398,2026-05-05,2027-01-13,204,12,SAFE
PICKLE-LIME-003,Tops Spicy Lime Pickle 400g,Pickles,Desai Foods (Mother's Recipe),95.0,105.0,BLIM-1135,2026-08-29,2027-02-07 19:01:23,99,27,SAFE
PKG-OIL-004,Fortune Kachi Ghani Mustard Oil 1L,Packaged Foods,Tata Consumer Products,155.0,165.0,BOIL-1297,2026-05-02,2026-10-08,246,7,SAFE
PICKLE-MANGO-001,Mother's Recipe Mango Pickle 500g,Pickles,Desai Foods (Mother's Recipe),145.0,160.0,BMAN-1513,2026-04-06,2026-08-17 02:07:26,322,21,EXPIRED
SPICE-GARAM-001,Everest Royal Garam Masala 100g,Spices,MDH Spices,85.0,90.0,BGAR-1422,2025-12-20,2026-09-03 03:41:48,154,27,WARNING
PKG-ATTA-003,Aashirvaad Shuddh Chakki Atta 5kg,Packaged Foods,Tata Consumer Products,240.0,260.0,BATT-1262,2026-09-12,2027-02-01,279,5,SAFE
BAKERY-RUSK-005,Parle Premium Elaichi Rusk 300g,Bakery,Britannia Industries,55.0,60.0,BRUS-1446,2026-01-25,2026-08-30,196,7,WARNING
SPICE-CHILLI-002,MDH Deggi Mirch Powder 100g,Spices,MDH Spices,95.0,100.0,BCHI-1220,2026-06-02,2026-09-15 17:53:42,286,8,SAFE
BAKERY-BREAD-001,Britannia 100% Whole Wheat Bread 400g,Bakery,Britannia Industries,45.0,50.0,BBRE-1036,2026-08-11,2026-12-29 03:34:42,188,27,SAFE
CER-OATS-002,Quaker Rolled Oats 1kg,Cereals,Kellogg India,180.0,195.0,BOAT-1129,2025-12-20,2026-10-25,332,3,SAFE
FROZEN-PEAS-002,Safal Frozen Green Peas 1kg,Frozen Foods,McCain Foods,130.0,145.0,BPEA-1078,2026-02-21,2026-09-19,130,27,SAFE
SPICE-TURM-003,Catch Pure Turmeric Powder 200g,Spices,MDH Spices,65.0,70.0,BTUR-1399,2026-02-20,2026-09-11,23,10,SAFE
RTE-BIRYAN-004,Tata Q Spicy Chicken Biryani 330g,Ready-to-eat foods,MTR Foods,185.0,199.0,BBIR-1450,2026-03-18,2026-09-01,27,17,WARNING
RTE-RAJMA-003,Haldiram's Minute Khana Rajma Chawal 375g,Ready-to-eat foods,MTR Foods,125.0,135.0,BRAJ-1017,2026-01-26,2026-11-16,85,18,SAFE
PKG-SALT-005,Tata Vacuum Evaporated Iodized Salt 1kg,Packaged Foods,Tata Consumer Products,25.0,28.0,BSAL-1434,2026-02-23,2026-09-01,84,11,WARNING
SAUCE-SOYA-004,Tops Dark Soy Sauce 210ml,Sauces,Hindustan Unilever,55.0,60.0,BSOY-1349,2026-05-20,2027-01-12,345,3,SAFE
DISC-FANTASY-003,Sunfeast Dark Fantasy Choco Fills 300g,Biscuits,Parle Products,160.0,175.0,BFAN-1392,2026-07-20,2026-11-07,111,27,SAFE
PICKLE-CHILLI-005,Bedekar Green Chilli Pickle 300g,Pickles,Desai Foods (Mother's Recipe),85.0,95.0,BCHI-1235,2026-04-21,2026-09-16,114,26,SAFE
SNACK-KURKURE-002,Kurkure Masala Munch 85g,Snacks,PepsiCo India,20.0,20.0,BKUR-1476,2026-01-10,2026-08-28 09:12:53,130,19,CRITICAL
INST-MAGGI-001,Nestle Maggi 2-Minute Masala Noodles 560g,Instant Foods,Nestle India,110.0,120.0,BMAG-1429,2025-12-19,2026-09-01,21,11,WARNING
SNACK-CHIPS-001,Lay's India's Magic Masala Chips 50g,Snacks,PepsiCo India,20.0,20.0,BCHI-1416,2025-10-04,2026-09-02 20:15:20,53,23,WARNING
FROZEN-FRIES-001,McCain French Fries Crispy 750g,Frozen Foods,McCain Foods,170.0,185.0,BFRI-1319,2026-06-07,2027-02-12 04:11:04,96,17,SAFE
CER-CHOCOS-004,Kellogg's Chocos Crunchy Bites 375g,Cereals,Kellogg India,195.0,210.0,BCHO-1329,2025-10-11,2026-09-29 11:13:09,328,12,SAFE
RTE-RAJMA-003,Haldiram's Minute Khana Rajma Chawal 375g,Ready-to-eat foods,MTR Foods,125.0,135.0,BRAJ-1207,2026-03-26,2026-12-07,320,18,SAFE
PKG-ATTA-003,Aashirvaad Shuddh Chakki Atta 5kg,Packaged Foods,Tata Consumer Products,240.0,260.0,BATT-1092,2025-12-08,2026-09-04 17:35:03,214,28,SAFE
BEV-JUICE-002,Tropicana 100% Orange Juice 1L,Beverages,Dabur India,130.0,140.0,BJUI-1130,2026-08-02,2027-02-14,150,23,SAFE
JUICE-COCO-002,RAW Pressery 100% Tender Coconut Water 200ml,Juices,Dabur India,60.0,65.0,BCOC-1320,2026-03-21,2026-11-23,61,14,SAFE
DISC-UNIBIC-005,Unibic Chocolate Chip Cookies 150g,Biscuits,Parle Products,65.0,75.0,BUNI-1125,2026-01-12,2026-11-23,41,10,SAFE
PICKLE-CHILLI-005,Bedekar Green Chilli Pickle 300g,Pickles,Desai Foods (Mother's Recipe),85.0,95.0,BCHI-1095,2026-08-25,2027-01-27,288,2,SAFE
BAKERY-RUSK-005,Parle Premium Elaichi Rusk 300g,Bakery,Britannia Industries,55.0,60.0,BRUS-1234,2026-03-08,2026-11-11,128,12,SAFE
INST-POHA-005,Saffola FITTIFY Instant Gourmet Poha 80g,Instant Foods,Nestle India,40.0,45.0,BPOH-1534,2026-02-26,2026-08-26,33,19,EXPIRED
INST-SOUP-002,Knorr Thick Tomato Soup 53g,Instant Foods,Nestle India,50.0,55.0,BSOU-1367,2026-04-23,2026-09-17 05:14:30,295,18,SAFE
SNACK-CHIPS-001,Lay's India's Magic Masala Chips 50g,Snacks,PepsiCo India,20.0,20.0,BCHI-1216,2025-10-29,2026-09-30 11:14:44,70,13,SAFE
JUICE-ORANGE-003,Minute Maid Pulpy Orange Drink 1L,Juices,Dabur India,90.0,99.0,BORA-1385,2026-02-10,2026-10-11 22:26:34,300,20,SAFE
SNACK-KURKURE-002,Kurkure Masala Munch 85g,Snacks,PepsiCo India,20.0,20.0,BKUR-1065,2025-11-17,2026-10-08,131,9,SAFE
PICKLE-MIXED-004,Nilon's Mixed Vegetable Pickle 500g,Pickles,Desai Foods (Mother's Recipe),130.0,140.0,BMIX-1005,2026-04-13,2027-01-02 10:23:38,125,26,SAFE
SNACK-NUTS-005,Nutraj Salted Roasted Almonds 200g,Snacks,PepsiCo India,280.0,300.0,BNUT-1117,2026-01-21,2026-10-26,286,13,SAFE
FROZEN-FRIES-001,McCain French Fries Crispy 750g,Frozen Foods,McCain Foods,170.0,185.0,BFRI-1524,2026-04-18,2026-08-19,238,25,EXPIRED
PKG-OIL-004,Fortune Kachi Ghani Mustard Oil 1L,Packaged Foods,Tata Consumer Products,155.0,165.0,BOIL-1403,2026-02-25,2026-11-22 09:33:21,294,17,SAFE
CANNED-MUSHROOM-004,Urban Platter Button Mushrooms 400g,Canned Foods,Del Monte India,110.0,120.0,BMUS-1084,2026-04-04,2027-02-14,273,15,SAFE
SAUCE-SOYA-004,Tops Dark Soy Sauce 210ml,Sauces,Hindustan Unilever,55.0,60.0,BSOY-1345,2026-06-10,2027-01-24,154,6,SAFE
BEV-SODA-006,Coca-Cola Original Taste 1.25L,Beverages,Dabur India,60.0,65.0,BSOD-1074,2025-12-26,2026-10-06,104,21,SAFE
BEV-TEA-003,Tata Tea Gold 500g,Beverages,Dabur India,320.0,340.0,BTEA-1346,2026-05-21,2026-12-19 04:10:30,286,9,SAFE
BEV-TEA-003,Tata Tea Gold 500g,Beverages,Dabur India,320.0,340.0,BTEA-1069,2026-03-24,2026-12-15,175,15,SAFE
PKG-OIL-004,Fortune Kachi Ghani Mustard Oil 1L,Packaged Foods,Tata Consumer Products,155.0,165.0,BOIL-1471,2026-02-24,2026-08-28 09:05:28,176,28,CRITICAL
PKG-ATTA-003,Aashirvaad Shuddh Chakki Atta 5kg,Packaged Foods,Tata Consumer Products,240.0,260.0,BATT-1174,2025-12-11,2026-09-22,309,11,SAFE
RTE-BIRYAN-004,Tata Q Spicy Chicken Biryani 330g,Ready-to-eat foods,MTR Foods,185.0,199.0,BBIR-1121,2026-02-26,2027-02-19,66,28,SAFE
PKG-OIL-004,Fortune Kachi Ghani Mustard Oil 1L,Packaged Foods,Tata Consumer Products,155.0,165.0,BOIL-1094,2025-12-20,2026-09-08,222,25,SAFE
PICKLE-GARLIC-002,Priya Garlic Pickle in Sesame Oil 300g,Pickles,Desai Foods (Mother's Recipe),110.0,125.0,BGAR-1452,2025-12-06,2026-08-28 11:21:07,248,27,CRITICAL
CER-CHOCOS-004,Kellogg's Chocos Crunchy Bites 375g,Cereals,Kellogg India,195.0,210.0,BCHO-1354,2026-02-28,2027-02-21,83,18,SAFE
SPICE-TURM-003,Catch Pure Turmeric Powder 200g,Spices,MDH Spices,65.0,70.0,BTUR-1132,2025-12-25,2026-11-20 14:42:21,133,11,SAFE
PICKLE-LIME-003,Tops Spicy Lime Pickle 400g,Pickles,Desai Foods (Mother's Recipe),95.0,105.0,BLIM-1151,2026-04-03,2026-11-28,154,15,SAFE
DAIRY-MILK-001,Amul Taaza Toned Milk 1L,Dairy,Amul India,54.0,56.0,BMIL-1435,2025-12-17,2026-09-03,209,27,WARNING
DISC-FANTASY-003,Sunfeast Dark Fantasy Choco Fills 300g,Biscuits,Parle Products,160.0,175.0,BFAN-1360,2026-06-16,2027-02-15,308,2,SAFE
CANNED-MUSHROOM-004,Urban Platter Button Mushrooms 400g,Canned Foods,Del Monte India,110.0,120.0,BMUS-1281,2026-02-24,2027-02-12,293,17,SAFE
BAKERY-RUSK-005,Parle Premium Elaichi Rusk 300g,Bakery,Britannia Industries,55.0,60.0,BRUS-1131,2026-04-05,2026-09-30,95,2,SAFE
INST-PASTA-003,Maggi Pazzta Cheese Macaroni 70g,Instant Foods,Nestle India,30.0,35.0,BPAS-1266,2026-02-01,2026-10-12,347,12,SAFE
INST-PASTA-003,Maggi Pazzta Cheese Macaroni 70g,Instant Foods,Nestle India,30.0,35.0,BPAS-1213,2026-09-24,2027-01-22,302,19,SAFE
BEV-COFFEE-004,Nescafe Classic Instant Coffee 100g,Beverages,Dabur India,310.0,325.0,BCOF-1190,2025-09-20,2026-09-20 12:27:44,247,13,SAFE
SAUCE-SOYA-004,Tops Dark Soy Sauce 210ml,Sauces,Hindustan Unilever,55.0,60.0,BSOY-1308,2026-05-06,2026-12-22 12:36:09,170,21,SAFE
PKG-SALT-005,Tata Vacuum Evaporated Iodized Salt 1kg,Packaged Foods,Tata Consumer Products,25.0,28.0,BSAL-1160,2026-09-16,2027-02-17,317,12,SAFE
PKG-SALT-005,Tata Vacuum Evaporated Iodized Salt 1kg,Packaged Foods,Tata Consumer Products,25.0,28.0,BSAL-1474,2025-09-21,2026-08-28 13:39:45,227,24,CRITICAL
BEV-JUICE-002,Tropicana 100% Orange Juice 1L,Beverages,Dabur India,130.0,140.0,BJUI-1035,2025-11-14,2026-09-20,225,16,SAFE
INST-SOUP-002,Knorr Thick Tomato Soup 53g,Instant Foods,Nestle India,50.0,55.0,BSOU-1292,2026-07-25,2026-11-08,245,13,SAFE
SPICE-PEPPER-005,Keya Black Pepper Grinder 50g,Spices,MDH Spices,160.0,175.0,BPEP-1118,2026-06-09,2027-02-23,247,10,SAFE
DAIRY-CURD-006,Nandini Premium Curd 500g,Dairy,Amul India,35.0,38.0,BCUR-1060,2026-07-24,2027-02-06,67,13,SAFE
CER-CORN-001,Kellogg's Corn Flakes Original 875g,Cereals,Kellogg India,310.0,330.0,BCOR-1233,2026-06-27,2027-01-27,220,18,SAFE
BEV-JUICE-001,Real Fruit Power Mango Juice 1L,Beverages,Dabur India,110.0,120.0,BJUI-1358,2026-06-27,2026-11-12 00:34:24,86,17,SAFE
PKG-RICE-002,Fortune Biryani Special Basmati Rice 1kg,Packaged Foods,Tata Consumer Products,195.0,210.0,BRIC-1259,2026-08-02,2027-02-07,307,16,SAFE
COND-SRIRACHA-004,Huy Fong Sriracha Hot Chili Sauce 255g,Condiments,Wingreens Farms,320.0,350.0,BSRI-1217,2026-03-19,2026-11-06,234,19,SAFE
BEV-DRINK-005,Paper Boat Aamras Juice 250ml,Beverages,Dabur India,35.0,40.0,BDRI-1195,2026-03-29,2027-02-14 19:30:37,123,22,SAFE
CANNED-PINE-002,Golden Crown Pineapple Slices in Syrup 850g,Canned Foods,Del Monte India,180.0,200.0,BPIN-1466,2026-04-18,2026-08-29 09:01:31,83,12,CRITICAL
DAIRY-MILK-001,Amul Taaza Toned Milk 1L,Dairy,Amul India,54.0,56.0,BMIL-1499,2025-10-22,2026-08-27 20:34:29,118,24,DONATION
FROZEN-FRIES-001,McCain French Fries Crispy 750g,Frozen Foods,McCain Foods,170.0,185.0,BFRI-1396,2026-04-06,2027-01-15,347,13,SAFE
BEV-JUICE-001,Real Fruit Power Mango Juice 1L,Beverages,Dabur India,110.0,120.0,BJUI-1503,2026-05-29,2026-08-27 19:08:02,124,17,DONATION
BEV-JUICE-002,Tropicana 100% Orange Juice 1L,Beverages,Dabur India,130.0,140.0,BJUI-1050,2026-03-01,2026-09-16,82,13,SAFE
SPICE-CORI-004,Tata Sampann Coriander Powder 200g,Spices,MDH Spices,70.0,75.0,BCOR-1265,2025-09-30,2026-09-12,212,4,SAFE
BEV-DRINK-005,Paper Boat Aamras Juice 250ml,Beverages,Dabur India,35.0,40.0,BDRI-1083,2025-12-29,2026-11-21,301,21,SAFE
CER-OATS-002,Quaker Rolled Oats 1kg,Cereals,Kellogg India,180.0,195.0,BOAT-1298,2026-06-15,2027-02-23,48,19,SAFE
SNACK-BHUJIA-003,Haldiram's Nagpur Alooo Bhujia 400g,Snacks,PepsiCo India,120.0,130.0,BBHU-1401,2026-04-07,2026-11-08,350,23,SAFE
SNACK-NUTS-005,Nutraj Salted Roasted Almonds 200g,Snacks,PepsiCo India,280.0,300.0,BNUT-1366,2026-08-21,2026-12-30,285,24,SAFE
DAIRY-BUTTER-002,Amul Pasteurised Butter 500g,Dairy,Amul India,270.0,275.0,BBUT-1394,2026-04-06,2026-10-10,75,25,SAFE
DAIRY-YOGURT-004,Epigamia Greek Yogurt Mango 85g,Dairy,Amul India,50.0,55.0,BYOG-1311,2026-02-04,2026-09-17,307,15,SAFE
BAKERY-BUN-003,English Oven Burger Buns 4pcs,Bakery,Britannia Industries,35.0,38.0,BBUN-1051,2026-04-29,2027-02-02 18:05:13,239,28,SAFE
SPICE-TURM-003,Catch Pure Turmeric Powder 200g,Spices,MDH Spices,65.0,70.0,BTUR-1189,2026-06-02,2026-09-23,170,17,SAFE
BAKERY-RUSK-005,Parle Premium Elaichi Rusk 300g,Bakery,Britannia Industries,55.0,60.0,BRUS-1138,2026-02-08,2026-12-16,324,10,SAFE
PICKLE-CHILLI-005,Bedekar Green Chilli Pickle 300g,Pickles,Desai Foods (Mother's Recipe),85.0,95.0,BCHI-1334,2026-02-22,2026-12-03 08:40:47,139,3,SAFE
PICKLE-LIME-003,Tops Spicy Lime Pickle 400g,Pickles,Desai Foods (Mother's Recipe),95.0,105.0,BLIM-1109,2025-11-26,2026-11-18,153,21,SAFE
FROZEN-PEAS-002,Safal Frozen Green Peas 1kg,Frozen Foods,McCain Foods,130.0,145.0,BPEA-1143,2025-12-05,2026-11-13 21:26:33,220,28,SAFE
BAKERY-BREAD-001,Britannia 100% Whole Wheat Bread 400g,Bakery,Britannia Industries,45.0,50.0,BBRE-1405,2026-03-18,2027-01-13 21:07:18,337,9,SAFE
DAIRY-CURD-006,Nandini Premium Curd 500g,Dairy,Amul India,35.0,38.0,BCUR-1328,2026-04-04,2026-09-11,257,18,SAFE
BEV-DRINK-005,Paper Boat Aamras Juice 250ml,Beverages,Dabur India,35.0,40.0,BDRI-1363,2026-04-26,2026-12-23,128,9,SAFE
RTE-BIRYAN-004,Tata Q Spicy Chicken Biryani 330g,Ready-to-eat foods,MTR Foods,185.0,199.0,BBIR-1393,2026-06-19,2027-01-06,185,11,SAFE
PICKLE-MANGO-001,Mother's Recipe Mango Pickle 500g,Pickles,Desai Foods (Mother's Recipe),145.0,160.0,BMAN-1268,2026-02-16,2027-01-12,17,4,SAFE
SAUCE-CHILLI-005,Heinz Sweet Chilli Sauce 300g,Sauces,Hindustan Unilever,160.0,175.0,BCHI-1418,2025-11-12,2026-09-01,168,7,WARNING
DISC-GOODDAY-002,Britannia Good Day Butter Cookies 600g,Biscuits,Parle Products,140.0,150.0,BGOO-1201,2025-11-11,2026-09-12,47,17,SAFE
DAIRY-PANEER-003,Mother Dairy Fresh Paneer 200g,Dairy,Amul India,90.0,95.0,BPAN-1269,2026-05-04,2026-10-17,326,18,SAFE
INST-PASTA-003,Maggi Pazzta Cheese Macaroni 70g,Instant Foods,Nestle India,30.0,35.0,BPAS-1186,2026-05-19,2026-12-29,341,13,SAFE
BAKERY-BUN-003,English Oven Burger Buns 4pcs,Bakery,Britannia Industries,35.0,38.0,BBUN-1406,2026-10-01,2027-01-03 23:52:09,248,13,SAFE
DAIRY-PANEER-003,Mother Dairy Fresh Paneer 200g,Dairy,Amul India,90.0,95.0,BPAN-1381,2026-06-13,2026-10-15 07:52:50,32,16,SAFE
DAIRY-MILK-001,Amul Taaza Toned Milk 1L,Dairy,Amul India,54.0,56.0,BMIL-1378,2026-05-15,2027-01-12,293,15,SAFE
DAIRY-BUTTER-002,Amul Pasteurised Butter 500g,Dairy,Amul India,270.0,275.0,BBUT-1200,2026-04-07,2026-11-04,23,7,SAFE
BAKERY-BREAD-002,Harvest Gold White Bread 400g,Bakery,Britannia Industries,40.0,42.0,BBRE-1337,2026-01-13,2027-01-03 18:04:58,181,23,SAFE
FROZEN-MOMOS-003,Prasuma Chicken Veg Momos 24pcs,Frozen Foods,McCain Foods,290.0,320.0,BMOM-1497,2026-05-05,2026-08-27 20:05:10,38,5,DONATION
SPICE-TURM-003,Catch Pure Turmeric Powder 200g,Spices,MDH Spices,65.0,70.0,BTUR-1040,2026-05-11,2026-11-26,45,7,SAFE
SAUCE-SOYA-004,Tops Dark Soy Sauce 210ml,Sauces,Hindustan Unilever,55.0,60.0,BSOY-1368,2026-06-28,2026-12-11 17:49:39,281,16,SAFE
DISC-UNIBIC-005,Unibic Chocolate Chip Cookies 150g,Biscuits,Parle Products,65.0,75.0,BUNI-1521,2025-09-10,2026-08-22,231,24,EXPIRED
INST-UPMA-004,MTR Instant Vegetable Upma Mix 160g,Instant Foods,Nestle India,45.0,50.0,BUPM-1387,2026-05-09,2027-01-17,224,6,SAFE
BAKERY-PASTRY-004,Monginis Choco Lava Cake 75g,Bakery,Britannia Industries,40.0,45.0,BPAS-1536,2026-03-23,2026-08-21,41,7,EXPIRED
DAIRY-CURD-006,Nandini Premium Curd 500g,Dairy,Amul India,35.0,38.0,BCUR-1447,2025-11-11,2026-09-01,184,27,WARNING
BAKERY-BUN-003,English Oven Burger Buns 4pcs,Bakery,Britannia Industries,35.0,38.0,BBUN-1373,2026-08-08,2026-12-06,50,17,SAFE
DAIRY-CURD-006,Nandini Premium Curd 500g,Dairy,Amul India,35.0,38.0,BCUR-1276,2026-03-16,2026-12-22 15:08:57,23,13,SAFE
FROZEN-MOMOS-003,Prasuma Chicken Veg Momos 24pcs,Frozen Foods,McCain Foods,290.0,320.0,BMOM-1210,2026-04-05,2027-01-24,63,12,SAFE
PKG-ATTA-003,Aashirvaad Shuddh Chakki Atta 5kg,Packaged Foods,Tata Consumer Products,240.0,260.0,BATT-1338,2026-03-28,2026-12-03,250,19,SAFE
PKG-RICE-002,Fortune Biryani Special Basmati Rice 1kg,Packaged Foods,Tata Consumer Products,195.0,210.0,BRIC-1142,2026-02-15,2026-11-02,68,7,SAFE
RTE-BIRYAN-004,Tata Q Spicy Chicken Biryani 330g,Ready-to-eat foods,MTR Foods,185.0,199.0,BBIR-1105,2026-06-01,2027-01-01 03:09:55,169,23,SAFE
SNACK-NUTS-005,Nutraj Salted Roasted Almonds 200g,Snacks,PepsiCo India,280.0,300.0,BNUT-1425,2026-04-22,2026-09-01 23:33:27,209,24,WARNING
PKG-SALT-005,Tata Vacuum Evaporated Iodized Salt 1kg,Packaged Foods,Tata Consumer Products,25.0,28.0,BSAL-1517,2026-04-18,2026-08-22,21,13,EXPIRED
PICKLE-MANGO-001,Mother's Recipe Mango Pickle 500g,Pickles,Desai Foods (Mother's Recipe),145.0,160.0,BMAN-1227,2026-05-20,2027-01-13,18,17,SAFE
FROZEN-PEAS-002,Safal Frozen Green Peas 1kg,Frozen Foods,McCain Foods,130.0,145.0,BPEA-1214,2026-03-03,2026-12-28,231,25,SAFE
SPICE-CORI-004,Tata Sampann Coriander Powder 200g,Spices,MDH Spices,70.0,75.0,BCOR-1336,2026-03-19,2026-09-29,328,17,SAFE
INST-UPMA-004,MTR Instant Vegetable Upma Mix 160g,Instant Foods,Nestle India,45.0,50.0,BUPM-1041,2025-11-19,2026-09-04 02:03:37,247,11,SAFE
PKG-DAL-001,Tata Sampann Unpolished Arhar Dal 1kg,Packaged Foods,Tata Consumer Products,165.0,175.0,BDAL-1112,2026-03-02,2026-12-11,268,12,SAFE
CANNED-PINE-002,Golden Crown Pineapple Slices in Syrup 850g,Canned Foods,Del Monte India,180.0,200.0,BPIN-1455,2026-04-01,2026-08-27 23:48:48,26,12,CRITICAL
CANNED-PINE-002,Golden Crown Pineapple Slices in Syrup 850g,Canned Foods,Del Monte India,180.0,200.0,BPIN-1443,2026-03-15,2026-08-30,208,4,WARNING
JUICE-ORANGE-003,Minute Maid Pulpy Orange Drink 1L,Juices,Dabur India,90.0,99.0,BORA-1449,2026-02-10,2026-09-01,215,16,WARNING
COND-DIP-003,Wingreens Farms Chipotle Dip 180g,Condiments,Wingreens Farms,175.0,190.0,BDIP-1008,2026-01-22,2026-10-24,50,3,SAFE
